,type,vm_pu,gen_p_pu,gen_q_pu,load_p_pu,load_q_pu,sgen_p_pu,sgen_q_pu,slack_weight
10,2,1.0,0.033942488892809104,,4.016527619629493,1.3201687865841092,1.6834722197258785,0.0,0
11,2,1.0,4.883005488699382,,1.8798822093495926,0.6178874018217352,0.10144738972535489,0.0,0
12,2,1.0,5.251276735979233,,2.8152410363187994,0.9253249808852602,2.13284816945071,0.0,0
13,2,1.0,0.011632003054203262,,1.1622584036872385,0.38201586340255395,1.2632250897253547,0.0,0
14,2,1.0,0.010814161332578358,,1.549678061682724,0.5093545470195013,0.0,0.0,0
15,2,1.0,0.04559775079221861,,2.1818196885586882,0.7171294519955385,1.0908628797253548,0.0,0
16,2,1.0,0.24999999972535492,,3.1306130829966965,1.0289827598460113,0.0,0.0,0
17,3,,0.0,,7.524111381400576,2.4730558166617485,0.2368774397253549,0.0,0
18,2,1.0,0.023560883427840393,,0.0,0.0,0.0,0.0,0
19,3,,0.0,,2.491491294104064,0.8189135865635222,0.0,0.0,0
20,3,,0.0,,0.0,0.0,0.0,0.0,0
21,2,1.0,15.835552291176684,,0.0,0.0,5.954364739725355,0.0,0
22,2,1.0,7.5821438060171715,,9.786264176068276,3.2165894837549662,1.94211636972596,0.0,0
23,2,1.0,0.24165314888448353,,1.2407663645651612,0.40782018227313116,0.0,0.0,0
24,2,1.0,0.011142798147060439,,1.819677143187724,0.5980989535230872,0.0,0.0,0
25,2,1.0,0.022605098332768157,,1.5929330140293956,0.5235717623261215,1.5122444397253547,0.0,0
26,2,1.0,0.010912867538496449,,7.264296459935942,2.3876587816880286,0.5367824997259727,0.0,0
27,3,,0.0,,0.0,0.0,0.0,0.0,0
28,2,1.0,18.066420066921967,,1.9370977196782104,0.636693230636449,0.0,0.0,0
29,2,1.0,6.520833624300127,,12.854541148305042,4.22508335481552,0.7605792694507099,0.0,0
30,2,1.0,0.02264802374759358,,3.2164049055081456,1.0571811682598509,0.0,0.0,0
31,3,,0.0,,1.4076205181593997,0.4626624904426301,0.0,0.0,0
32,3,,0.0,,12.271219247137303,4.033354717698968,0.324568169725355,0.0,0
33,2,1.0,0.01149826410237795,,1.8701899691152386,0.614701716513128,0.0,0.0,0
